CONTENTID,TITLE,ADDR1,ADDR2,AREACODE,FIRSTIMAGE,FIRSTIMAGE2,MAPX,MAPY,SIGUNGUCODE,ZIPCODE,TEL
1599680,거창파인밸리리조트 비계산가든,경상남도 거창군 가조면 녹동3길 227,NULL,36,NULL,NULL,128.043549,35.71136123,2,50118,055-941-1296
1599634,맛고을,경상남도 거창군 가조면 지산로 1465,NULL,36,NULL,NULL,128.0154516,35.70745006,2,50118,055-942-2322
1599068,봉천식당,경상남도 거창군 거창읍 강남로 114,NULL,36,NULL,NULL,127.9099172,35.68301483,2,50143,055-944-5316
1599281,별난 왕해물찜,경상남도 거창군 거창읍 강변로9길 101,NULL,36,NULL,NULL,127.9166497,35.6911418,2,50134,055-944-4266
1599515,왕우렁쌈밥,경상남도 거창군 거창읍 거함대로5길 71,NULL,36,NULL,NULL,127.9218717,35.68294283,2,50145,055-945-3042
1599503,동막골 한우촌,경상남도 거창군 거창읍 대평3길 58,NULL,36,NULL,NULL,127.9211272,35.68541198,2,50145,055-945-3369
1600406,남덕유산 대표산나물집,경상남도 거창군 북상면 덕유월성로 1173,NULL,36,NULL,NULL,127.7192206,35.77027932,2,50100,055-944-5351
1600372,대구회가든,경상남도 거창군 북상면 병곡길 447-11,NULL,36,NULL,NULL,127.7756368,35.80910925,2,50101,055-943-9501
2580452,[착한가게] 장안숯불갈비,경상남도 고성군 고성읍 성내로112번길 64,NULL,36,NULL,NULL,128.3226109,34.97244669,3,52943,055-673-3638
2581617,[착한가게] 합천식당,경상남도 창원시 마산합포구 어시장7길 16,(신포동2가),36,NULL,NULL,128.5740051,35.20117278,16,51720,055-246-3773
2581593,[착한가게] 낙동추어탕,경상남도 창원시 성산구 대정로35번길 4-1,(가음동),36,NULL,NULL,128.6981524,35.20789094,16,51492,055-286-5565
2581585,[착한가게] 경성국밥,경상남도 창원시 성산구 마디미로43번길 13,1층(상남동),36,NULL,NULL,128.6845838,35.22028375,16,51496,055-284-8083
2581607,[착한가게] 초원식당,경상남도 창원시 성산구 신촌로 102,"(신촌동,양곡상가아파트)",36,NULL,NULL,128.6285809,35.20001001,16,51564,055-286-0180
2581587,[착한가게] 구구장어구이,경상남도 창원시 성산구 외동반림로126번길 57-1,(중앙동),36,NULL,NULL,128.6770398,35.22721061,16,51513,055-261-4794
2581625,[착한가게] 터미널충무김밥,경상남도 통영시 도남로 269-38,(도남동),36,NULL,NULL,128.4335828,34.82903694,17,53079,055-648-3041
2738031,푸른회식당,대구광역시 서구 달구벌대로375길 14-1,(내당동),4,http://tong.visitkorea.or.kr/cms/resource/67/2738267_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2738267_image2_1.jpg,128.5701512,35.86227595,6,41870,NULL
2718272,제로테이블,대구광역시 수성구 수성로68길 35-8,(수성동2가),4,NULL,NULL,128.6159418,35.85538868,7,42124,010-6581-4860
2752491,파운드,대전광역시 동구 수향길 25,(소제동),3,NULL,NULL,NULL,NULL,2,34615,NULL
2752307,어나더그래비티,대전광역시 중구 유등천동로 374,(유천동),3,NULL,NULL,127.387266,36.3152308,5,34986,NULL
2731162,루비떡볶이,서울특별시 강남구 선릉로153길 21,(신사동),1,NULL,NULL,127.037664,37.52468517,1,6019,NULL
2743638,여행맛(JEJUAIR ON THE TABLE),서울특별시 강서구 하늘길 38,(방화동),1,http://tong.visitkorea.or.kr/cms/resource/13/2743613_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2743613_image2_1.jpg,126.802973,37.57142276,4,7505,070-7420-1370
2717322,꾸에바마테라,서울특별시 용산구 소월로20길 28-1,(용산동2가),1,NULL,NULL,126.9852293,37.54533183,21,4337,010-9793-7999
2438630,북막골,서울특별시 종로구 삼청로 124-6,(삼청동),1,http://tong.visitkorea.or.kr/cms/resource/09/2478009_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2478009_image3_1.jpg,126.9820146,37.58651865,23,3053,02-730-0980
2708791,"꽃,밥에피다",서울특별시 종로구 인사동16길 3-6,(관훈동),1,http://tong.visitkorea.or.kr/cms/resource/02/2705102_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2705102_image3_1.jpg,126.9840397,37.57534221,23,3146,NULL
2685207,웰빙수제비,서울특별시 종로구 종로 123,NULL,1,http://tong.visitkorea.or.kr/cms/resource/67/2685167_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2685167_image2_1.jpg,126.9913058,37.57071788,23,3139,02-747-2436
2643061,곰국시집 명동,"서울특별시 중구 명동10길 19-3, 2층",NULL,1,http://tong.visitkorea.or.kr/cms/resource/78/2655178_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2655178_image2_1.jpg,NULL,NULL,24,4537,02-756-3449
2726220,신안골분식,세종특별자치시 조치원읍 신안새동네길 56-1,NULL,8,NULL,NULL,127.2882584,36.61587515,1,30016,NULL
2573736,이웃사촌,울산광역시 남구 남부순환도로 435,(옥동),7,NULL,NULL,129.2892671,35.52413303,2,44660,052-271-2588
2573828,미진곱창,울산광역시 남구 남산로 26,1층(무거동),7,NULL,NULL,129.2736121,35.55247399,2,44628,052-223-6120
2573899,시골돌곱창,울산광역시 남구 남산로26번길 5,(무거동),7,NULL,NULL,129.2736232,35.55206015,2,44628,052-224-4447
2573888,정문식곱창구이,울산광역시 남구 남산로26번길 5-1,(무거동),7,NULL,NULL,129.2736899,35.55222125,2,44628,052-224-0251
2572647,울산복국,울산광역시 남구 달삼로 19,(달동),7,NULL,NULL,129.3312964,35.53573529,2,44718,052-911-6969
2581072,[착한가게] 솟대,울산광역시 남구 대학로47번길 10,(무거동),7,NULL,NULL,129.2558695,35.54081664,2,44616,052-223-4346
2580995,[착한가게] 덤,울산광역시 남구 대학로84번길 5-5,(무거동),7,NULL,NULL,129.2602913,35.54263874,2,44611,052-247-1217
2581075,[착한가게] 안창깍두기,울산광역시 남구 대학로84번길 5-9,(무거동),7,NULL,NULL,129.2603357,35.54276095,2,44611,052-277-1096
2573931,함경면옥,울산광역시 남구 돋질로183번길 24,NULL,7,NULL,NULL,129.3246634,35.5435954,2,44687,052-269-3200
2574203,독도참가자미,울산광역시 남구 두왕로322번길 6-3,(신정동),7,NULL,NULL,129.3091763,35.53101319,2,44740,052-266-2001
2572945,돋질로,울산광역시 남구 문수로327번길 14,(옥동),7,NULL,NULL,129.2894445,35.53660663,2,44645,052-275-2677
2574216,만리장성,울산광역시 남구 문수로480번길 7,NULL,7,NULL,NULL,129.3057321,35.53167138,2,44667,052-291-0002
2573033,소풍가,울산광역시 남구 번영로 223,NULL,7,NULL,NULL,129.3242857,35.54474526,2,44687,052-275-3579
2572572,대가야삼계탕,울산광역시 남구 번영로150번길 21,(달동),7,NULL,NULL,129.3299964,35.53934598,2,44703,052-257-2756
2573047,미강식당,울산광역시 남구 번영로84번길 5,NULL,7,NULL,NULL,129.3306743,35.53323556,2,44721,052-258-5552
2574159,삿뽀로울산점,울산광역시 남구 산업로 595,(삼산동),7,NULL,NULL,129.3503837,35.53477465,2,44716,052-267-7727
2572441,수라간,울산광역시 남구 삼산로 273,(삼산동),7,NULL,NULL,129.3367958,35.53955164,2,44705,052-245-3937
2572750,전복궁,울산광역시 남구 삼산로355번길 20,(삼산동),7,NULL,NULL,129.3461949,35.54182656,2,44712,052-267-7274
2574383,마마꾸,울산광역시 남구 삼산중로84번길 11-9,(삼산동),7,NULL,NULL,129.3365847,35.54130143,2,44705,052-900-9039
2581553,[착한가게] 제주숯불갈비,울산광역시 남구 수암로 177-6,(야음동),7,NULL,NULL,129.3265971,35.52718061,2,44736,052-266-9297
2573693,촌당,울산광역시 남구 수암로90번길 23,(신정동),7,NULL,NULL,129.3191866,35.52801927,2,44748,052-266-9289
2574471,동경맨션,울산광역시 남구 신정로38번길 9,(달동),7,NULL,NULL,129.3232527,35.53567959,2,44725,010-5095-4813
2573907,남다른대구막창,울산광역시 남구 어은로 33-1,(무거동),7,NULL,NULL,129.2744787,35.55225737,2,44628,052-998-0018
2572989,보쌈집,울산광역시 남구 왕생로 29,NULL,7,NULL,NULL,129.3318741,35.53618803,2,44718,052-256-5382
2573616,진상가든,울산광역시 남구 왕생로 38,NULL,7,NULL,NULL,129.3322296,35.53685185,2,44718,052-274-7800
2573919,정칼국수,울산광역시 남구 왕생로62번길 11,(달동),7,NULL,NULL,129.3331073,35.53941825,2,44707,052-258-0220
2574062,아키라,울산광역시 남구 왕생로62번길 15-1,(달동),7,NULL,NULL,129.3336406,35.53949603,2,44707,052-267-0840
2574122,일식와사비,울산광역시 남구 정동로 117,(삼산동),7,NULL,NULL,129.3441728,35.54453455,2,44709,052-265-3030
2581062,[착한가게] 서울식당,울산광역시 남구 중앙로258번길 7,(신정동),7,NULL,NULL,129.3116201,35.54412842,2,44683,052-271-5103
2572609,조마루뼈다귀(꽃바위점),울산광역시 동구 꽃바위로 250,(방어동),7,NULL,NULL,129.416946,35.48225958,3,44108,052-252-3377
2571966,해와달,울산광역시 동구 동해안로 589,(주전동),7,NULL,NULL,129.4566848,35.55896283,3,44013,052-252-9044
2581507,[착한가게] 장터수육,울산광역시 동구 명덕5길 15,(서부동),7,NULL,NULL,129.4321768,35.52464955,3,44030,052-232-0541
2574185,토모참치&연어,울산광역시 동구 명덕6길 11,(서부동),7,NULL,NULL,129.4313658,35.52346912,3,44031,052-236-5652
2574317,예원,울산광역시 동구 명덕로 10,(서부동),7,NULL,NULL,129.4317103,35.52284141,3,44031,052-252-4477
2572590,조마루뼈다귀(남목점),울산광역시 동구 방어진순환도로 1141,(서부동),7,NULL,NULL,129.424266,35.53933387,3,44016,052-252-2221
2573226,영천한우마을,울산광역시 동구 방어진순환도로 512,(방어동),7,NULL,NULL,129.4235119,35.48828403,3,44097,052-232-2323
2572223,박가 부대찌개,울산광역시 동구 방어진순환도로 674,NULL,7,NULL,NULL,129.4292111,35.50185206,3,44056,052-201-7730
2574067,나고야 일식,울산광역시 동구 방어진순환도로 683,(일산동),7,NULL,NULL,129.4288111,35.50287416,3,44053,052-233-6009
2574311,용궁,울산광역시 동구 방어진순환도로 695,(일산동),7,NULL,NULL,129.4291777,35.50385461,3,44053,052-236-8885
2572742,왕궁삼계탕,울산광역시 동구 방어진순환도로 819,(전하동),7,NULL,NULL,129.432066,35.51465345,3,44034,052-251-2818
2572200,봉창이칼국수,울산광역시 동구 방어진순환도로 899,(서부동),7,NULL,NULL,129.4313436,35.52166376,3,44033,052-250-4570
2574540,호반식(울산동구현대점),울산광역시 동구 방어진순환도로 899,지하1층(서부동),7,NULL,NULL,129.4313436,35.52166376,3,44033,052-250-4953
2572284,사랑채,울산광역시 동구 번덕로 10,(일산동),7,NULL,NULL,129.4272446,35.49958561,3,44067,052-232-0046
2581060,[착한가게] 북경,울산광역시 동구 번덕로 31,(화정동),7,NULL,NULL,129.4248671,35.49969666,3,44069,052-252-1155
2572302,신사동보쌈&족발,울산광역시 동구 보성길 10,NULL,7,NULL,NULL,129.4295223,35.49746922,3,44056,052-252-8686
2574346,라온누리,울산광역시 동구 옥류로 57,NULL,7,NULL,NULL,129.4261101,35.54390005,3,44008,052-251-2510
2572560,꽃돼지,울산광역시 동구 월봉7길 32,(화정동),7,NULL,NULL,129.4197788,35.49167247,3,44084,052-236-9300
2572392,바보형제쭈구미(일산점),울산광역시 동구 해수욕장10길 66,(일산동),7,NULL,NULL,129.4323444,35.49203655,3,44057,NULL
2574284,하림각,울산광역시 동구 해수욕장2길 20,NULL,7,NULL,NULL,129.4284891,35.49538888,3,44057,052-209-2000
2572229,일산정삼계탕,울산광역시 동구 해수욕장3길 15,(일산동),7,NULL,NULL,129.4298779,35.49525837,3,44057,052-232-8872
2574000,마굿간,울산광역시 북구 동대3길 15,(호계동),7,NULL,NULL,129.3526697,35.62796144,4,44227,052-295-6988
2573474,상안가든,울산광역시 북구 동산길 22,(상안동),7,NULL,NULL,129.3352048,35.62000922,4,44210,052-295-0593
2574324,cafe제이드 dining,울산광역시 북구 동해안로 1586,(산하동),7,NULL,NULL,129.4423508,35.62622722,4,44264,052-298-6644
2573440,오방촌,울산광역시 북구 명촌15길 4,NULL,7,NULL,NULL,129.3546049,35.55604178,4,44254,052-289-5245
2574030,배내골참민물장어,울산광역시 북구 명촌3길 7-1,(진장동),7,NULL,NULL,129.357749,35.55896651,4,44254,052-288-5800
2573940,어전생복집,울산광역시 북구 명촌5길 27,(진장동),7,NULL,NULL,129.3600488,35.55779447,4,44254,052-288-5372
2573994,원조할매낙지와 화타,울산광역시 북구 명촌로 32,(진장동),7,NULL,NULL,129.3565714,35.55749999,4,44254,052-287-0888
2573970,압구정 한우국밥(명촌점),울산광역시 북구 명촌로 36,(진장동),7,NULL,NULL,129.3566158,35.55729168,4,44254,052-288-5358
2574010,대방낙지불쭈꾸미,울산광역시 북구 명촌로 39,(진장동),7,NULL,NULL,129.3572269,35.55681675,4,44254,052-288-0989
2572372,영웅이네밥상,울산광역시 북구 산하중앙2로 87-33,울산안전체험관 지하1층(정자동),7,NULL,NULL,129.4403179,35.61767258,4,44233,052-291-1191
2573488,충무대구탕,울산광역시 북구 상방2길 19-2,(연암동),7,NULL,NULL,129.3680363,35.58304733,4,44244,052-288-0919
2581575,[착한가게] 푸짐한식당,울산광역시 북구 새장터6길 9-3,(염포동),7,NULL,NULL,129.3913912,35.53503928,4,44260,052-287-5727
2573499,코뚜레,울산광역시 북구 신답1길 9,(상안동),7,NULL,NULL,129.3444038,35.62816403,4,44209,052-295-1988
2581583,[착한가게] 황돈숯불생고기,울산광역시 북구 양정6길 33-1,(양정동),7,NULL,NULL,129.385847,35.54331603,4,44260,052-288-7332
2573462,산마루,울산광역시 북구 원연암2길 96,(연암동),7,NULL,NULL,129.3776579,35.57748703,4,44246,052-287-3355
2572485,명촌돼지국밥,울산광역시 북구 중산5길 19-9,1동 1층(중산동),7,NULL,NULL,129.3511136,35.65424456,4,44213,052-292-1005
2572805,한가위,울산광역시 북구 진장유통로 43,"1~3층, (진장동)",7,NULL,NULL,129.3561932,35.57450363,4,44249,052-245-9200
2573102,대흥식육숯불생고기,울산광역시 북구 치전2길 3,NULL,7,NULL,NULL,129.3870692,35.54042471,4,44260,052-288-0616
2573040,정담복국,울산광역시 북구 화암7길 11,2층(산하동),7,NULL,NULL,129.4387398,35.63359854,4,44264,052-276-1047
2571955,협동숯불,울산광역시 울주군 두동면 계명로 120,NULL,7,NULL,NULL,129.2010694,35.71510988,5,44914,052-262-7294
2572045,종점식당,울산광역시 울주군 두동면 계명로 120,NULL,7,NULL,NULL,129.2010694,35.71510988,5,44914,052-262-7279
2571957,만복래숯불구이,울산광역시 울주군 두동면 두동로 1789,NULL,7,NULL,NULL,129.2023583,35.70981883,5,44914,052-262-7255
2571951,참솔,울산광역시 울주군 두동면 두동로 1835,NULL,7,NULL,NULL,129.1993252,35.71298508,5,44914,052-264-1022
2572149,어하복국,울산광역시 울주군 범서읍 점촌6길 20,NULL,7,NULL,NULL,129.24147,35.56907708,5,44925,052-245-8677
2580974,[착한가게] 구이와아구찜,울산광역시 울주군 범서읍 점촌6길 28,NULL,7,NULL,NULL,129.240995,35.56939926,5,44925,NULL
2572004,유승추어탕,울산광역시 울주군 범서읍 천상3길 10-2,NULL,7,NULL,NULL,129.2272381,35.56358021,5,44928,052-211-1822
2572606,유정복집,울산광역시 울주군 삼남면 남상평2길 33,NULL,7,NULL,NULL,129.1171256,35.55963137,5,44948,052-264-7557
2572070,조금마루,울산광역시 울주군 삼남면 서상평강변길 9,NULL,7,NULL,NULL,129.1155367,35.56332537,5,44949,052-263-7060
2572083,부광가든,울산광역시 울주군 삼동면 삼동로 834-6,NULL,7,NULL,NULL,129.1621782,35.52198922,5,44956,052-264-7576
2572036,솔밭길꿩농원,울산광역시 울주군 상북면 운문로 38-11,NULL,7,NULL,NULL,129.0497631,35.61965113,5,44901,052-254-4433
2572087,금장생복집,울산광역시 울주군 서생면 당물길 33,NULL,7,NULL,NULL,129.3289352,35.34838684,5,45014,052-239-5638
2571980,봉화대,울산광역시 울주군 서생면 해맞이로 1091,NULL,7,NULL,NULL,129.3420449,35.35779436,5,45015,052-239-0292
2572104,연산할머니순대,울산광역시 울주군 언양읍 대암둔기로 58,NULL,7,NULL,NULL,129.1822201,35.55006977,5,44936,052-263-3100
2571964,언양1번가 주먹떡갈비,울산광역시 울주군 언양읍 언양로 37,NULL,7,NULL,NULL,129.1314576,35.56227578,5,44940,052-263-2031
2573378,백마돼지숯불갈비,울산광역시 울주군 언양읍 장터1길 14,NULL,7,NULL,NULL,129.1255025,35.5638005,5,44946,052-264-0033
2571963,대운터,울산광역시 울주군 온산읍 덕동1길 5,NULL,7,NULL,NULL,129.3014018,35.43601538,5,45004,052-238-5289
2572197,궁·엄나무삼계탕,울산광역시 울주군 온산읍 덕신로 283,NULL,7,NULL,NULL,129.3125009,35.43428245,5,45001,052-238-2209
2581555,[착한가게] 짜장나라,울산광역시 울주군 온양읍 대운길 16,NULL,7,NULL,NULL,129.2803821,35.41209267,5,44978,052-227-4001
2572758,대경휴게소가든,울산광역시 울주군 청량읍 남부순환도로 240,NULL,7,NULL,NULL,129.2689354,35.52835995,5,44960,052-257-2882
2572595,약수가든,울산광역시 울주군 청량읍 청량천변로 129,NULL,7,NULL,NULL,129.260514,35.52629336,5,44960,052-247-1868
2574193,꽃마름샤브샤브,울산광역시 중구 강북로 123,"101동 4층 405~408호(옥교동,태화강엑소디움)",7,NULL,NULL,129.3230411,35.55316651,1,44531,052-212-3318
2581478,[착한가게] 유가냉면,울산광역시 중구 먹자거리 12,(성남동),7,NULL,NULL,129.3200746,35.55454408,1,44532,052-258-6696
2573413,하해밀면,울산광역시 중구 명난로 129,(태화동),7,NULL,NULL,129.2885108,35.55137995,1,44437,052-249-7970
2574370,코너비스트로,울산광역시 중구 문화의거리 6,2층(옥교동),7,NULL,NULL,129.3218745,35.55564121,1,44530,052-246-3315
2573287,성안장수원,울산광역시 중구 성안1길 113,(성안동),7,NULL,NULL,129.3232015,35.57643612,1,44418,052-245-3553
2573296,왕콩수제두부전문점,울산광역시 중구 성안로 145,(성안동),7,NULL,NULL,129.3150301,35.57376682,1,44422,052-211-6888
2581564,[착한가게] 탕짜,울산광역시 중구 시계탑거리 4,(성남동),7,NULL,NULL,129.3216189,35.55515793,1,44532,052-246-5566
2573391,조포닭발,울산광역시 중구 중앙2길 20-1,(성남동),7,NULL,NULL,129.3201302,35.55556063,1,44529,052-246-3456
2581052,[착한가게] 만수원숯불갈비,울산광역시 중구 해오름16길 2,(남외동),7,NULL,NULL,129.3427503,35.5608188,1,44516,052-297-4327
2581580,[착한가게] 할머니손칼국시,울산광역시 중구 화진4길 20,(태화동),7,NULL,NULL,129.3077312,35.55597424,1,44452,052-245-8542
2574241,용궁,울산광역시 중구 화합로 371,(반구동),7,NULL,NULL,129.3405283,35.55875233,1,44513,052-293-9339
134974,등나무가든,인천광역시 강화군 길상면 해안동로 76,NULL,2,http://tong.visitkorea.or.kr/cms/resource/25/1898925_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/1898925_image3_1.jpg,126.5310433,37.63416898,1,23049,032-937-4000
2580814,[착한가게] 비파김밥,전라남도 목포시 백년대로337번길 6,(상동),38,NULL,NULL,126.4239374,34.80608286,8,58664,061-282-0003
2742073,영란횟집,전라남도 목포시 번화로 42-1,(만호동),38,http://tong.visitkorea.or.kr/cms/resource/34/2742434_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2742434_image2_1.jpg,126.3840775,34.78615945,8,58753,NULL
2583245,시골집순두부,전라남도 목포시 복산길6번길 44,NULL,38,NULL,NULL,126.4358141,34.80673854,8,58686,061-283-4500
2580830,[착한가게] 영광반점,전라남도 목포시 북항로59번길 26,(죽교동),38,NULL,NULL,126.375353,34.8000883,8,58719,0504-0953-0980
2580824,[착한가게]시골집순두부,전라남도 목포시 연산로 140,(연산동),38,NULL,NULL,126.3815716,34.80969009,8,58634,061-274-9999
2583238,샤브리안,전라남도 목포시 원형로 37-1,NULL,38,NULL,NULL,126.431948,34.79867549,8,58747,061-282-1482
2583263,일식수,전라남도 목포시 평화로 103,"(상동, 외1필지)",38,NULL,NULL,126.4355255,34.79804785,8,58747,061-247-5505
2568757,사골뚝배기,전라북도 군산시 거석길 29,NULL,37,NULL,NULL,126.7114157,35.98555948,2,54025,063-445-1107
2568918,스위트인디아,전라북도 군산시 거석길 36,(신창동),37,NULL,NULL,126.7120823,35.98590945,2,54025,063-445-8522
2580454,[착한가게] 가야장,전라북도 군산시 경암4길 4,(경암동),37,NULL,NULL,126.7312809,35.97588592,2,54036,063-442-2760
2580486,[착한가게] 아서원,전라북도 군산시 경암5길 63,(경암동),37,NULL,NULL,126.7320585,35.97829121,2,54034,063-445-0901
2569117,팔팔삼계탕,전라북도 군산시 구시장로 53,(신영동),37,NULL,NULL,126.7191928,35.98477914,2,54027,063-445-9486
2569106,진갈비,전라북도 군산시 구영1길 108-7,(영화동),37,NULL,NULL,126.7090631,35.98945899,2,54021,063-446-7707
2568960,오미정,전라북도 군산시 구영1길 143-3,(금동),37,NULL,NULL,126.7094602,35.99099216,2,54018,063-442-2110
2569127,한일옥,전라북도 군산시 구영3길 63,NULL,37,NULL,NULL,126.7082493,35.98745365,2,54022,063-446-5491
2580459,[착한가게] 미주옥,전라북도 군산시 구영7길 133-4,(영화동),37,NULL,NULL,126.7122822,35.98938961,2,54021,063-442-5505
2568558,금송회집,전라북도 군산시 남수송6길 7,NULL,37,NULL,NULL,126.7100386,35.96345642,2,54102,063-464-6038
2569143,홍영장,전라북도 군산시 동령길 42,NULL,37,NULL,NULL,126.7140376,35.98801202,2,54026,063-445-8096
2569048,제주도횟집,전라북도 군산시 동메1길 9-2,NULL,37,NULL,NULL,126.7121272,35.97078895,2,54081,063-467-9548
2569094,장가네,전라북도 군산시 비응동로 67,(비응도동),37,NULL,NULL,126.5337772,35.94029773,2,54003,063-466-2995
2580490,[착한가게] 청정오리떼,전라북도 군산시 상지곡1길 8,(지곡동),37,NULL,NULL,126.7060947,35.9569071,2,54103,063-464-5291
2569124,한우전문취향,전라북도 군산시 새만금북로 247,(오식도동),37,NULL,NULL,126.5633967,35.94615312,2,54002,063-468-1592
2569040,장국명가,전라북도 군산시 새터길 25,NULL,37,NULL,NULL,126.7522345,35.97785272,2,54044,063-443-3680
2569129,해송,전라북도 군산시 서수송1길 12-5,NULL,37,NULL,NULL,126.7093276,35.96483681,2,54137,063-446-0947
1603190,일풍식당,전라북도 군산시 서흥1길 9,NULL,37,NULL,NULL,126.7067387,35.97174986,2,54123,063-442-6098
2568988,유성가든,전라북도 군산시 성산면 철새로 6-1,NULL,37,NULL,NULL,126.7617439,36.01165736,2,54045,063-453-6670
2569097,죽향,전라북도 군산시 소룡길 52,(소룡동),37,NULL,NULL,126.6814299,35.9710134,2,54013,063-465-1910
2568729,배불뚝집군산수송점,전라북도 군산시 수송안길 25,(수송동),37,NULL,NULL,126.7167048,35.9617234,2,54100,063-466-7778
2568965,온새미로,전라북도 군산시 신설2길 5-6,(나운동),37,NULL,NULL,126.6950065,35.96771957,2,54128,063-462-7467
2580458,[착한가게] 명산칼국수,전라북도 군산시 오룡로 57-2,(명산동),37,NULL,NULL,126.7099604,35.9825348,2,54024,063-468-1470
2569050,조박사설렁탕,전라북도 군산시 월명로 118,(지곡동),37,NULL,NULL,126.7162605,35.95459087,2,54098,063-452-7313
2568866,수원성,전라북도 군산시 월명로 281,NULL,37,NULL,NULL,126.7152936,35.96918363,2,54089,063-453-0002
2568707,명인,전라북도 군산시 임피면 서원석곡로 602,NULL,37,NULL,NULL,126.8510144,35.98377041,2,54056,063-452-2459
2568597,다오다오,전라북도 군산시 지곡로 6,(지곡동),37,NULL,NULL,126.7105693,35.95893195,2,54103,063-468-5289
2569119,풍천장어타운경암점,전라북도 군산시 진포로 199,(경암동),37,NULL,NULL,126.7326918,35.97629701,2,54036,063-445-4421
2568973,완주옥,전라북도 군산시 큰샘길 42,(죽성동),37,NULL,NULL,126.7173263,35.98554291,2,54027,063-445-2644
2568701,명동소바,전라북도 군산시 평화길 122,(장미동),37,NULL,NULL,126.7169041,35.98715106,2,54026,063-446-1366
